frame_id,timestamp,tracking_state,error_px,latency_ms,atmosphere,gaussian_std,sp_density,platform_offset,jitter_offset
45,1.5333333333333348,LOCKED,17.45418249730684,14.626741409301758,Fog,12.0,0.04,"(7.498255915935127, -2.7885763785745348)","(-4.172254767441979, 2.3558445009328324)"
46,1.5666666666666682,LOCKED,17.44427469676286,12.817859649658203,Fog,12.0,0.04,"(7.374905212707999, -3.1001246916168372)","(-0.6461246931116316, -1.4277452868422102)"
47,1.6000000000000016,LOCKED,17.84350646637793,12.23134994506836,Fog,12.0,0.04,"(7.2386164197281495, -3.4062343325205946)","(-2.3818549302254817, 1.5633911174266615)"
48,1.633333333333335,LOCKED,14.294634656045185,12.574911117553711,Fog,12.0,0.04,"(7.089628633849711, -3.7063682809589076)","(-1.6582486733593154, -4.948200968206788)"
49,1.6666666666666685,LOCKED,18.706271823224355,13.561248779296875,Fog,12.0,0.04,"(6.928203230275499, -4.000000000000017)","(-4.583929174553816, 5.542771974594174)"
50,1.700000000000002,LOCKED,23.321770462941583,13.26441764831543,Fog,12.0,0.04,"(6.75462340401611, -4.28661435983199)","(4.902968288491284, 2.3964856057289943)"
51,1.7333333333333354,LOCKED,17.877605772818423,10.512113571166992,Fog,12.0,0.04,"(6.569193673069621, -4.565708541475471)","(-2.809560462485765, 5.630116528172687)"
52,1.7666666666666688,LOCKED,19.756325068185404,11.427640914916992,Fog,12.0,0.04,"(6.372239344193558, -4.8367929188990155)","(3.345010847589535, 2.602682269907948)"
53,1.8000000000000023,LOCKED,12.58531992776758,13.268232345581055,Fog,12.0,0.04,"(6.1641059422063, -5.099391917989534)","(-0.6076619742745359, -2.7331012578580918)"
54,1.8333333333333357,LOCKED,14.806217716442259,11.99650764465332,Fog,12.0,0.04,"(5.945158603819139, -5.353044850870882)","(-4.8433084541580085, 4.8312287585261)"
55,1.8666666666666691,LOCKED,13.903689687119524,11.079072952270508,Fog,12.0,0.04,"(5.715781437062409, -5.597306724106941)","(-0.5306845219966672, -3.571639622457236)"
56,1.9000000000000026,LOCKED,13.129388842274802,11.154413223266602,Fog,12.0,0.04,"(5.47637684742949, -5.83174901937131)","(-2.32852051019217, 0.9506348273027516)"
